ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-01-14T00:05:00+00:00,95.554,1.836,0.12,-1.812,5.551
2026-01-14T00:10:00+00:00,98.1,1.878,0.096,-1.861,5.532
2026-01-14T00:15:00+00:00,99.321,1.902,0.114,-1.886,5.526
2026-01-14T00:20:00+00:00,98.657,1.893,0.123,-1.874,5.532
2026-01-14T00:25:00+00:00,98.51,1.888,0.116,-1.874,5.536
2026-01-14T00:30:00+00:00,99.888,1.913,0.146,-1.893,5.545
2026-01-14T00:35:00+00:00,106.962,2.048,0.161,-2.026,5.524
2026-01-14T00:40:00+00:00,115.127,2.194,0.2,-2.176,5.513
2026-01-14T00:45:00+00:00,120.523,2.336,0.186,-2.313,5.603
2026-01-14T00:50:00+00:00,119.732,2.331,0.173,-2.31,5.606
2026-01-14T00:55:00+00:00,122.304,2.373,0.203,-2.357,5.611
2026-01-14T01:00:00+00:00,122.179,2.372,0.217,-2.362,5.615
2026-01-14T01:05:00+00:00,122.66,2.386,0.191,-2.372,5.62
2026-01-14T01:10:00+00:00,121.799,2.37,0.215,-2.354,5.625
2026-01-14T01:15:00+00:00,120.895,2.362,0.225,-2.334,5.631
2026-01-14T01:20:00+00:00,117.671,2.296,0.22,-2.272,5.636
2026-01-14T01:25:00+00:00,119.868,2.339,0.217,-2.313,5.632
2026-01-14T01:30:00+00:00,119.822,2.343,0.175,-2.32,5.633
2026-01-14T01:35:00+00:00,119.875,2.34,0.196,-2.318,5.632
2026-01-14T01:40:00+00:00,119.781,2.339,0.211,-2.317,5.635
2026-01-14T01:45:00+00:00,117.718,2.302,0.218,-2.274,5.643
2026-01-14T01:50:00+00:00,117.742,2.303,0.206,-2.276,5.644
2026-01-14T01:55:00+00:00,115.484,2.266,0.224,-2.246,5.652
2026-01-14T02:00:00+00:00,118.524,2.328,0.233,-2.297,5.661
2026-01-14T02:05:00+00:00,115.68,2.272,0.211,-2.24,5.658
2026-01-14T02:10:00+00:00,117.456,2.301,0.215,-2.274,5.66
2026-01-14T02:15:00+00:00,117.28,2.306,0.217,-2.274,5.666
2026-01-14T02:20:00+00:00,115.843,2.278,0.203,-2.255,5.674
2026-01-14T02:25:00+00:00,114.995,2.264,0.205,-2.24,5.678
2026-01-14T02:30:00+00:00,115.669,2.25,0.199,-2.224,5.612
2026-01-14T02:35:00+00:00,115.784,2.232,0.183,-2.214,5.585
2026-01-14T02:40:00+00:00,121.257,2.348,0.183,-2.32,5.589
2026-01-14T02:45:00+00:00,121.955,2.366,0.16,-2.351,5.594
2026-01-14T02:50:00+00:00,119.753,2.321,0.158,-2.297,5.596
2026-01-14T02:55:00+00:00,114.887,2.228,0.185,-2.205,5.602
2026-01-14T03:00:00+00:00,116.315,2.261,0.183,-2.237,5.608
2026-01-14T03:05:00+00:00,118.713,2.308,0.179,-2.28,5.606
2026-01-14T03:10:00+00:00,118.608,2.305,0.191,-2.276,5.604
2026-01-14T03:15:00+00:00,120.261,2.337,0.191,-2.313,5.614
2026-01-14T03:20:00+00:00,119.237,2.329,0.182,-2.306,5.624
2026-01-14T03:25:00+00:00,116.878,2.281,0.209,-2.262,5.636
2026-01-14T03:30:00+00:00,113.595,2.224,0.234,-2.193,5.649
2026-01-14T03:35:00+00:00,111.389,2.175,0.184,-2.149,5.652
2026-01-14T03:40:00+00:00,111.69,2.19,0.209,-2.164,5.659
2026-01-14T03:45:00+00:00,109.842,2.151,0.174,-2.127,5.646
2026-01-14T03:50:00+00:00,110.368,2.154,0.171,-2.126,5.638
2026-01-14T03:55:00+00:00,111.006,2.166,0.154,-2.14,5.644
2026-01-14T04:00:00+00:00,113.129,2.213,0.177,-2.185,5.641
2026-01-14T04:05:00+00:00,112.369,2.2,0.171,-2.169,5.646
2026-01-14T04:10:00+00:00,109.192,2.142,0.148,-2.116,5.66
2026-01-14T04:15:00+00:00,108.115,2.098,0.154,-2.074,5.609
2026-01-14T04:20:00+00:00,109.372,2.115,0.159,-2.092,5.582
2026-01-14T04:25:00+00:00,106.84,2.062,0.146,-2.033,5.566
2026-01-14T04:30:00+00:00,106.404,2.052,0.196,-2.027,5.572
2026-01-14T04:35:00+00:00,106.707,2.06,0.17,-2.035,5.572
2026-01-14T04:40:00+00:00,105.952,2.058,0.183,-2.029,5.597
2026-01-14T04:45:00+00:00,103.607,1.996,0.172,-1.964,5.566
2026-01-14T04:50:00+00:00,104.352,2.011,0.133,-1.989,5.581
2026-01-14T04:55:00+00:00,105.016,2.033,0.133,-2.009,5.59
2026-01-14T05:00:00+00:00,105.634,2.046,0.099,-2.018,5.588
2026-01-14T05:05:00+00:00,104.017,2.005,0.09,-1.978,5.563
2026-01-14T05:10:00+00:00,106.613,2.043,0.12,-2.018,5.546
2026-01-14T05:15:00+00:00,106.741,2.052,0.121,-2.026,5.548
2026-01-14T05:20:00+00:00,104.918,2.019,0.13,-1.987,5.553
2026-01-14T05:25:00+00:00,102.081,1.958,0.113,-1.941,5.552
2026-01-14T05:30:00+00:00,105.066,2.023,0.112,-1.999,5.568
2026-01-14T05:35:00+00:00,103.619,1.998,0.129,-1.967,5.562
2026-01-14T05:40:00+00:00,105.365,2.023,0.121,-1.997,5.546
2026-01-14T05:45:00+00:00,103.499,1.991,0.125,-1.963,5.548
2026-01-14T05:50:00+00:00,107.789,2.068,0.122,-2.044,5.551
2026-01-14T05:55:00+00:00,108.284,2.08,0.123,-2.057,5.539
2026-01-14T06:00:00+00:00,108.19,2.08,0.108,-2.057,5.552
2026-01-14T06:05:00+00:00,108.393,2.074,0.068,-2.054,5.525
2026-01-14T06:10:00+00:00,110.863,2.12,0.07,-2.089,5.508
2026-01-14T06:15:00+00:00,110.926,2.125,0.088,-2.096,5.537
2026-01-14T06:20:00+00:00,114.301,2.22,0.079,-2.197,5.608
2026-01-14T06:25:00+00:00,113.219,2.208,0.095,-2.182,5.621
2026-01-14T06:30:00+00:00,115.443,2.255,0.08,-2.232,5.642
2026-01-14T06:35:00+00:00,121.548,2.361,0.019,-2.336,5.616
2026-01-14T06:40:00+00:00,125.062,2.416,0.034,-2.392,5.596
2026-01-14T06:45:00+00:00,128.511,2.486,0.073,-2.461,5.586
2026-01-14T06:50:00+00:00,131.459,2.555,0.072,-2.527,5.61
2026-01-14T06:55:00+00:00,130.763,2.55,0.084,-2.519,5.624
2026-01-14T07:00:00+00:00,130.634,2.543,0.083,-2.519,5.618
2026-01-14T07:05:00+00:00,126.518,2.453,0.064,-2.431,5.598
2026-01-14T07:10:00+00:00,133.54,2.586,0.047,-2.568,5.592
2026-01-14T07:15:00+00:00,132.06,2.578,0.021,-2.546,5.632
2026-01-14T07:20:00+00:00,132.496,2.59,0.044,-2.561,5.642
2026-01-14T07:25:00+00:00,133.159,2.598,0.05,-2.571,5.632
2026-01-14T07:30:00+00:00,132.749,2.583,0.055,-2.557,5.62
2026-01-14T07:35:00+00:00,132.344,2.577,0.068,-2.553,5.62
2026-01-14T07:40:00+00:00,135.578,2.635,0.047,-2.607,5.612
2026-01-14T07:45:00+00:00,130.59,2.538,0.049,-2.51,5.612
