ValueDate,MVA,Volts
2026-01-14T00:05:00+00:00,3.522,11.236
2026-01-14T00:10:00+00:00,3.456,11.2
2026-01-14T00:15:00+00:00,3.514,11.2
2026-01-14T00:20:00+00:00,3.488,11.2
2026-01-14T00:25:00+00:00,3.436,11.2
2026-01-14T00:30:00+00:00,3.412,11.277
2026-01-14T00:35:00+00:00,3.512,11.26
2026-01-14T00:40:00+00:00,3.577,11.201
2026-01-14T00:45:00+00:00,3.624,11.2
2026-01-14T00:50:00+00:00,3.586,11.2
2026-01-14T00:55:00+00:00,3.554,11.2
2026-01-14T01:00:00+00:00,3.544,11.2
2026-01-14T01:05:00+00:00,3.592,11.2
2026-01-14T01:10:00+00:00,3.565,11.2
2026-01-14T01:15:00+00:00,3.538,11.22
2026-01-14T01:20:00+00:00,3.494,11.2
2026-01-14T01:25:00+00:00,3.464,11.2
2026-01-14T01:30:00+00:00,3.466,11.221
2026-01-14T01:35:00+00:00,3.454,11.3
2026-01-14T01:40:00+00:00,3.435,11.3
2026-01-14T01:45:00+00:00,3.367,11.3
2026-01-14T01:50:00+00:00,3.344,11.3
2026-01-14T01:55:00+00:00,3.324,11.3
2026-01-14T02:00:00+00:00,3.28,11.3
2026-01-14T02:05:00+00:00,3.288,11.3
2026-01-14T02:10:00+00:00,3.322,11.3
2026-01-14T02:15:00+00:00,3.284,11.3
2026-01-14T02:20:00+00:00,3.253,11.3
2026-01-14T02:25:00+00:00,3.242,11.3
2026-01-14T02:30:00+00:00,3.247,11.342
2026-01-14T02:35:00+00:00,3.18,11.3
2026-01-14T02:40:00+00:00,3.221,11.3
2026-01-14T02:45:00+00:00,3.173,11.3
2026-01-14T02:50:00+00:00,3.158,11.304
2026-01-14T02:55:00+00:00,3.128,11.338
2026-01-14T03:00:00+00:00,3.068,11.371
2026-01-14T03:05:00+00:00,3.084,11.3
2026-01-14T03:10:00+00:00,3.113,11.3
2026-01-14T03:15:00+00:00,3.085,11.3
2026-01-14T03:20:00+00:00,3.072,11.22
2026-01-14T03:25:00+00:00,3.076,11.217
2026-01-14T03:30:00+00:00,3.093,11.268
2026-01-14T03:35:00+00:00,3.098,11.2
2026-01-14T03:40:00+00:00,3.08,11.2
2026-01-14T03:45:00+00:00,3.054,11.2
2026-01-14T03:50:00+00:00,3.066,11.2
2026-01-14T03:55:00+00:00,3.05,11.2
2026-01-14T04:00:00+00:00,3.039,11.2
2026-01-14T04:05:00+00:00,3.096,11.191
2026-01-14T04:10:00+00:00,3.149,11.199
2026-01-14T04:15:00+00:00,3.164,11.2
2026-01-14T04:20:00+00:00,3.118,11.2
2026-01-14T04:25:00+00:00,3.123,11.2
2026-01-14T04:30:00+00:00,3.136,11.2
2026-01-14T04:35:00+00:00,3.103,11.2
2026-01-14T04:40:00+00:00,3.124,11.271
2026-01-14T04:45:00+00:00,3.072,11.3
2026-01-14T04:50:00+00:00,3.07,11.246
2026-01-14T04:55:00+00:00,3.076,11.2
2026-01-14T05:00:00+00:00,3.129,11.2
2026-01-14T05:05:00+00:00,3.174,11.167
2026-01-14T05:10:00+00:00,3.199,11.2
2026-01-14T05:15:00+00:00,3.182,11.2
2026-01-14T05:20:00+00:00,3.228,11.2
2026-01-14T05:25:00+00:00,3.268,11.2
2026-01-14T05:30:00+00:00,3.268,11.2
2026-01-14T05:35:00+00:00,3.272,11.2
2026-01-14T05:40:00+00:00,3.341,11.186
2026-01-14T05:45:00+00:00,3.38,11.164
2026-01-14T05:50:00+00:00,3.396,11.13
2026-01-14T05:55:00+00:00,3.472,11.1
2026-01-14T06:00:00+00:00,3.604,11.178
2026-01-14T06:05:00+00:00,3.677,11.172
2026-01-14T06:10:00+00:00,3.77,11.129
2026-01-14T06:15:00+00:00,3.859,11.102
2026-01-14T06:20:00+00:00,4.077,11.157
2026-01-14T06:25:00+00:00,4.098,11.15
2026-01-14T06:30:00+00:00,4.0,11.142
2026-01-14T06:35:00+00:00,3.958,11.11
2026-01-14T06:40:00+00:00,4.139,11.133
2026-01-14T06:45:00+00:00,4.311,11.232
2026-01-14T06:50:00+00:00,4.359,11.24
2026-01-14T06:55:00+00:00,4.437,11.2
2026-01-14T07:00:00+00:00,4.524,11.2
2026-01-14T07:05:00+00:00,4.742,11.2
2026-01-14T07:10:00+00:00,4.79,11.204
2026-01-14T07:15:00+00:00,4.809,11.146
2026-01-14T07:20:00+00:00,4.849,11.138
2026-01-14T07:25:00+00:00,4.934,11.12
2026-01-14T07:30:00+00:00,4.882,11.2
2026-01-14T07:35:00+00:00,4.847,11.2
2026-01-14T07:40:00+00:00,4.925,11.18
2026-01-14T07:45:00+00:00,4.939,11.16
2026-01-14T07:50:00+00:00,4.953,11.258
2026-01-14T07:55:00+00:00,4.972,11.2
2026-01-14T08:00:00+00:00,4.98,11.226
2026-01-14T08:05:00+00:00,4.988,11.253
2026-01-14T08:10:00+00:00,5.027,11.238
2026-01-14T08:15:00+00:00,5.154,11.208
2026-01-14T08:20:00+00:00,5.121,11.236
2026-01-14T08:25:00+00:00,5.058,11.205
2026-01-14T08:30:00+00:00,5.074,11.21
2026-01-14T08:35:00+00:00,5.149,11.231
2026-01-14T08:40:00+00:00,5.115,11.28
2026-01-14T08:45:00+00:00,5.077,11.248
2026-01-14T08:50:00+00:00,5.096,11.205
2026-01-14T08:55:00+00:00,5.102,11.21
2026-01-14T09:00:00+00:00,5.154,11.263
2026-01-14T09:05:00+00:00,5.134,11.22
2026-01-14T09:10:00+00:00,5.092,11.2
2026-01-14T09:15:00+00:00,5.136,11.2
2026-01-14T09:20:00+00:00,5.157,11.2
2026-01-14T09:25:00+00:00,5.204,11.248
2026-01-14T09:30:00+00:00,5.26,11.298
2026-01-14T09:35:00+00:00,5.352,11.3
2026-01-14T09:40:00+00:00,5.284,11.3
2026-01-14T09:45:00+00:00,5.306,11.3
2026-01-14T09:50:00+00:00,5.354,11.3
2026-01-14T09:55:00+00:00,5.412,11.297
2026-01-14T10:00:00+00:00,5.411,11.3
2026-01-14T10:05:00+00:00,5.351,11.3
2026-01-14T10:10:00+00:00,5.4,11.3
2026-01-14T10:15:00+00:00,5.434,11.3
2026-01-14T10:20:00+00:00,5.432,11.3
2026-01-14T10:25:00+00:00,5.364,11.3
2026-01-14T10:30:00+00:00,5.35,11.305
2026-01-14T10:35:00+00:00,5.329,11.279
2026-01-14T10:40:00+00:00,5.358,11.257
2026-01-14T10:45:00+00:00,5.29,11.2
2026-01-14T10:50:00+00:00,5.323,11.2
2026-01-14T10:55:00+00:00,5.368,11.2
2026-01-14T11:00:00+00:00,5.33,11.2
2026-01-14T11:05:00+00:00,5.263,11.2
2026-01-14T11:10:00+00:00,5.294,11.2
2026-01-14T11:15:00+00:00,5.4,11.2
2026-01-14T11:20:00+00:00,5.34,11.2
2026-01-14T11:25:00+00:00,5.306,11.2
2026-01-14T11:30:00+00:00,5.301,11.2
2026-01-14T11:35:00+00:00,5.314,11.2
2026-01-14T11:40:00+00:00,5.299,11.2
2026-01-14T11:45:00+00:00,5.274,11.2
2026-01-14T11:50:00+00:00,5.318,11.203
2026-01-14T11:55:00+00:00,5.249,11.222
2026-01-14T12:00:00+00:00,5.311,11.28
2026-01-14T12:05:00+00:00,5.28,11.3
2026-01-14T12:10:00+00:00,5.319,11.294
2026-01-14T12:15:00+00:00,5.264,11.3
2026-01-14T12:20:00+00:00,5.252,11.298
2026-01-14T12:25:00+00:00,5.39,11.268
2026-01-14T12:30:00+00:00,5.346,11.252
2026-01-14T12:35:00+00:00,5.381,11.216
2026-01-14T12:40:00+00:00,5.49,11.238
2026-01-14T12:45:00+00:00,5.652,11.236
2026-01-14T12:50:00+00:00,5.684,11.219
2026-01-14T12:55:00+00:00,5.624,11.253
2026-01-14T13:00:00+00:00,5.649,11.274
2026-01-14T13:05:00+00:00,5.617,11.28
2026-01-14T13:10:00+00:00,5.498,11.29
2026-01-14T13:15:00+00:00,5.432,11.3
2026-01-14T13:20:00+00:00,5.46,11.278
2026-01-14T13:25:00+00:00,5.428,11.3
2026-01-14T13:30:00+00:00,5.416,11.238
2026-01-14T13:35:00+00:00,5.432,11.2
2026-01-14T13:40:00+00:00,5.402,11.2
2026-01-14T13:45:00+00:00,5.42,11.2
2026-01-14T13:50:00+00:00,5.512,11.2
2026-01-14T13:55:00+00:00,5.454,11.2
2026-01-14T14:00:00+00:00,5.422,11.209
2026-01-14T14:05:00+00:00,5.44,11.211
2026-01-14T14:10:00+00:00,5.416,11.209
2026-01-14T14:15:00+00:00,5.423,11.2
2026-01-14T14:20:00+00:00,5.408,11.2
2026-01-14T14:25:00+00:00,5.352,11.2
2026-01-14T14:30:00+00:00,5.367,11.2
2026-01-14T14:35:00+00:00,5.395,11.2
2026-01-14T14:40:00+00:00,5.407,11.197
2026-01-14T14:45:00+00:00,5.464,11.11
2026-01-14T14:50:00+00:00,5.587,11.188
2026-01-14T14:55:00+00:00,5.623,11.2
2026-01-14T15:00:00+00:00,5.623,11.234
2026-01-14T15:05:00+00:00,5.628,11.3
2026-01-14T15:10:00+00:00,5.646,11.3
2026-01-14T15:15:00+00:00,5.536,11.228
2026-01-14T15:20:00+00:00,5.53,11.2
2026-01-14T15:25:00+00:00,5.568,11.2
2026-01-14T15:30:00+00:00,5.569,11.2
2026-01-14T15:35:00+00:00,5.59,11.2
2026-01-14T15:40:00+00:00,5.678,11.199
2026-01-14T15:45:00+00:00,5.81,11.126
2026-01-14T15:50:00+00:00,5.924,11.2
2026-01-14T15:55:00+00:00,5.922,11.2
2026-01-14T16:00:00+00:00,5.964,11.2
2026-01-14T16:05:00+00:00,6.0,11.2
2026-01-14T16:10:00+00:00,6.043,11.2
2026-01-14T16:15:00+00:00,6.101,11.2
2026-01-14T16:20:00+00:00,6.201,11.2
2026-01-14T16:25:00+00:00,6.144,11.194
2026-01-14T16:30:00+00:00,6.214,11.144
2026-01-14T16:35:00+00:00,6.374,11.175
2026-01-14T16:40:00+00:00,6.423,11.124
2026-01-14T16:45:00+00:00,6.398,11.18
2026-01-14T16:50:00+00:00,6.363,11.2
2026-01-14T16:55:00+00:00,6.504,11.2
2026-01-14T17:00:00+00:00,6.488,11.205
2026-01-14T17:05:00+00:00,6.531,11.297
2026-01-14T17:10:00+00:00,6.508,11.221
2026-01-14T17:15:00+00:00,6.539,11.2
2026-01-14T17:20:00+00:00,6.563,11.2
2026-01-14T17:25:00+00:00,6.518,11.269
2026-01-14T17:30:00+00:00,6.414,11.248
2026-01-14T17:35:00+00:00,6.402,11.2
2026-01-14T17:40:00+00:00,6.456,11.2
2026-01-14T17:45:00+00:00,6.589,11.2
2026-01-14T17:50:00+00:00,6.564,11.2
2026-01-14T17:55:00+00:00,6.607,11.2
2026-01-14T18:00:00+00:00,6.594,11.2
2026-01-14T18:05:00+00:00,6.586,11.204
2026-01-14T18:10:00+00:00,6.657,11.2
2026-01-14T18:15:00+00:00,6.746,11.208
2026-01-14T18:20:00+00:00,6.733,11.289
2026-01-14T18:25:00+00:00,6.608,11.274
2026-01-14T18:30:00+00:00,6.504,11.25
2026-01-14T18:35:00+00:00,6.544,11.215
2026-01-14T18:40:00+00:00,6.558,11.22
2026-01-14T18:45:00+00:00,6.542,11.3
2026-01-14T18:50:00+00:00,6.526,11.3
2026-01-14T18:55:00+00:00,6.442,11.3
2026-01-14T19:00:00+00:00,6.378,11.3
2026-01-14T19:05:00+00:00,6.329,11.216
2026-01-14T19:10:00+00:00,6.32,11.264
2026-01-14T19:15:00+00:00,6.329,11.296
2026-01-14T19:20:00+00:00,6.309,11.3
2026-01-14T19:25:00+00:00,6.284,11.3
2026-01-14T19:30:00+00:00,6.262,11.3
2026-01-14T19:35:00+00:00,6.205,11.3
2026-01-14T19:40:00+00:00,6.168,11.3
2026-01-14T19:45:00+00:00,6.188,11.3
2026-01-14T19:50:00+00:00,6.116,11.3
