ValueDate,Amps,MVA,MVAr,MW,Volts
2026-01-14T00:05:00+00:00,225.753,4.431,0.995,-4.406,11.208
2026-01-14T00:10:00+00:00,229.183,4.46,0.968,-4.43,11.204
2026-01-14T00:15:00+00:00,228.42,4.434,0.976,-4.414,11.214
2026-01-14T00:20:00+00:00,224.174,4.333,0.973,-4.373,11.224
2026-01-14T00:25:00+00:00,223.748,4.337,0.982,-4.376,11.235
2026-01-14T00:30:00+00:00,225.272,4.365,0.983,-4.394,11.245
2026-01-14T00:35:00+00:00,232.002,4.52,0.973,-4.528,11.194
2026-01-14T00:40:00+00:00,242.146,4.696,0.984,-4.715,11.158
2026-01-14T00:45:00+00:00,245.918,4.786,0.972,-4.78,11.164
2026-01-14T00:50:00+00:00,244.453,4.726,0.997,-4.748,11.174
2026-01-14T00:55:00+00:00,241.816,4.654,0.982,-4.73,11.184
2026-01-14T01:00:00+00:00,239.742,4.622,0.984,-4.683,11.194
2026-01-14T01:05:00+00:00,241.566,4.67,0.994,-4.698,11.204
2026-01-14T01:10:00+00:00,241.592,4.676,0.986,-4.7,11.215
2026-01-14T01:15:00+00:00,240.046,4.65,1.001,-4.695,11.223
2026-01-14T01:20:00+00:00,237.256,4.584,0.984,-4.65,11.226
2026-01-14T01:25:00+00:00,234.616,4.55,0.992,-4.599,11.229
2026-01-14T01:30:00+00:00,234.634,4.55,0.999,-4.595,11.232
2026-01-14T01:35:00+00:00,237.462,4.584,0.993,-4.645,11.234
2026-01-14T01:40:00+00:00,237.099,4.588,1.002,-4.643,11.238
2026-01-14T01:45:00+00:00,236.935,4.58,0.996,-4.631,11.24
2026-01-14T01:50:00+00:00,236.794,4.581,0.992,-4.659,11.244
2026-01-14T01:55:00+00:00,235.927,4.588,0.983,-4.635,11.246
2026-01-14T02:00:00+00:00,234.509,4.565,0.995,-4.644,11.249
2026-01-14T02:05:00+00:00,233.452,4.545,1.008,-4.62,11.253
2026-01-14T02:10:00+00:00,234.497,4.57,1.021,-4.638,11.257
2026-01-14T02:15:00+00:00,234.101,4.556,1.01,-4.626,11.26
2026-01-14T02:20:00+00:00,234.238,4.565,1.009,-4.625,11.259
2026-01-14T02:25:00+00:00,232.924,4.525,1.007,-4.628,11.258
2026-01-14T02:30:00+00:00,231.716,4.493,1.027,-4.584,11.257
2026-01-14T02:35:00+00:00,228.497,4.45,1.014,-4.473,11.256
2026-01-14T02:40:00+00:00,226.198,4.422,0.999,-4.436,11.255
2026-01-14T02:45:00+00:00,226.318,4.416,1.016,-4.423,11.254
2026-01-14T02:50:00+00:00,223.344,4.354,1.007,-4.406,11.253
2026-01-14T02:55:00+00:00,223.798,4.363,1.026,-4.4,11.253
2026-01-14T03:00:00+00:00,225.367,4.378,1.006,-4.402,11.252
2026-01-14T03:05:00+00:00,225.948,4.398,1.017,-4.414,11.249
2026-01-14T03:10:00+00:00,224.664,4.363,1.022,-4.402,11.25
2026-01-14T03:15:00+00:00,222.474,4.306,1.025,-4.38,11.252
2026-01-14T03:20:00+00:00,223.733,4.344,1.025,-4.394,11.254
2026-01-14T03:25:00+00:00,224.078,4.361,1.024,-4.411,11.254
2026-01-14T03:30:00+00:00,222.32,4.328,1.019,-4.332,11.244
2026-01-14T03:35:00+00:00,222.438,4.325,0.983,-4.35,11.234
2026-01-14T03:40:00+00:00,220.498,4.278,1.027,-4.324,11.226
2026-01-14T03:45:00+00:00,220.527,4.3,0.994,-4.302,11.216
2026-01-14T03:50:00+00:00,221.668,4.326,0.976,-4.304,11.206
2026-01-14T03:55:00+00:00,219.906,4.282,0.99,-4.298,11.197
2026-01-14T04:00:00+00:00,219.513,4.279,1.017,-4.275,11.188
2026-01-14T04:05:00+00:00,221.767,4.308,1.006,-4.331,11.178
2026-01-14T04:10:00+00:00,222.694,4.324,0.986,-4.352,11.168
2026-01-14T04:15:00+00:00,220.328,4.3,0.976,-4.31,11.16
