ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-01-15T00:05:00+00:00,309.12,0.454,-5.743,9.025
2026-01-15T00:10:00+00:00,315.902,0.453,-5.828,8.988
2026-01-15T00:15:00+00:00,318.945,0.452,-5.855,8.955
2026-01-15T00:20:00+00:00,318.582,0.451,-5.882,8.95
2026-01-15T00:25:00+00:00,315.405,0.45,-5.859,8.952
2026-01-15T00:30:00+00:00,315.06,0.45,-5.862,8.974
2026-01-15T00:35:00+00:00,320.325,0.448,-5.877,8.946
2026-01-15T00:40:00+00:00,322.596,0.44,-5.943,8.924
2026-01-15T00:45:00+00:00,318.752,0.414,-5.982,9.094
2026-01-15T00:50:00+00:00,318.574,0.423,-5.956,9.067
2026-01-15T00:55:00+00:00,317.154,0.432,-5.932,9.05
2026-01-15T01:00:00+00:00,315.61,0.442,-5.888,9.074
2026-01-15T01:05:00+00:00,314.068,0.452,-5.844,9.078
2026-01-15T01:10:00+00:00,313.503,0.461,-5.848,9.088
2026-01-15T01:15:00+00:00,311.211,0.471,-5.825,9.1
2026-01-15T01:20:00+00:00,309.476,0.48,-5.828,9.12
2026-01-15T01:25:00+00:00,307.739,0.489,-5.817,9.11
2026-01-15T01:30:00+00:00,305.86,0.492,-5.738,9.099
2026-01-15T01:35:00+00:00,302.433,0.492,-5.668,9.106
2026-01-15T01:40:00+00:00,301.395,0.491,-5.626,9.118
2026-01-15T01:45:00+00:00,300.306,0.49,-5.599,9.13
2026-01-15T01:50:00+00:00,299.068,0.49,-5.56,9.082
2026-01-15T01:55:00+00:00,298.354,0.49,-5.56,9.083
2026-01-15T02:00:00+00:00,297.64,0.489,-5.564,9.092
2026-01-15T02:05:00+00:00,296.926,0.489,-5.567,9.054
2026-01-15T02:10:00+00:00,296.212,0.488,-5.562,9.048
2026-01-15T02:15:00+00:00,295.499,0.488,-5.545,9.066
2026-01-15T02:20:00+00:00,294.784,0.487,-5.526,9.068
2026-01-15T02:25:00+00:00,294.058,0.487,-5.507,9.066
2026-01-15T02:30:00+00:00,293.546,0.486,-5.487,9.076
2026-01-15T02:35:00+00:00,294.491,0.486,-5.481,9.051
2026-01-15T02:40:00+00:00,292.916,0.485,-5.478,9.046
2026-01-15T02:45:00+00:00,291.434,0.485,-5.475,9.051
2026-01-15T02:50:00+00:00,290.495,0.485,-5.454,9.059
2026-01-15T02:55:00+00:00,289.557,0.484,-5.386,9.069
2026-01-15T03:00:00+00:00,288.619,0.484,-5.401,9.082
2026-01-15T03:05:00+00:00,287.681,0.483,-5.416,9.079
2026-01-15T03:10:00+00:00,286.721,0.483,-5.392,9.093
2026-01-15T03:15:00+00:00,285.26,0.482,-5.36,9.111
2026-01-15T03:20:00+00:00,283.587,0.482,-5.329,9.117
2026-01-15T03:25:00+00:00,281.921,0.481,-5.298,9.135
2026-01-15T03:30:00+00:00,280.55,0.481,-5.27,9.142
2026-01-15T03:35:00+00:00,279.632,0.48,-5.24,9.117
2026-01-15T03:40:00+00:00,278.74,0.48,-5.212,9.115
2026-01-15T03:45:00+00:00,277.847,0.479,-5.182,9.117
2026-01-15T03:50:00+00:00,276.963,0.479,-5.16,9.127
2026-01-15T03:55:00+00:00,276.104,0.478,-5.208,9.135
2026-01-15T04:00:00+00:00,277.311,0.478,-5.266,9.135
2026-01-15T04:05:00+00:00,276.972,0.477,-5.288,9.128
2026-01-15T04:10:00+00:00,276.264,0.477,-5.209,9.126
2026-01-15T04:15:00+00:00,275.556,0.476,-5.178,9.13
2026-01-15T04:20:00+00:00,274.848,0.476,-5.181,9.14
2026-01-15T04:25:00+00:00,274.14,0.476,-5.185,9.133
2026-01-15T04:30:00+00:00,273.432,0.478,-5.206,9.072
2026-01-15T04:35:00+00:00,275.64,0.481,-5.24,9.069
2026-01-15T04:40:00+00:00,276.667,0.485,-5.196,9.076
2026-01-15T04:45:00+00:00,275.483,0.489,-5.131,9.076
2026-01-15T04:50:00+00:00,274.298,0.492,-5.134,9.069
2026-01-15T04:55:00+00:00,273.114,0.496,-5.136,9.077
2026-01-15T05:00:00+00:00,275.502,0.499,-5.166,9.079
2026-01-15T05:05:00+00:00,279.883,0.504,-5.202,9.072
2026-01-15T05:10:00+00:00,279.889,0.507,-5.193,9.045
2026-01-15T05:15:00+00:00,280.958,0.511,-5.204,9.048
2026-01-15T05:20:00+00:00,282.179,0.514,-5.216,9.073
2026-01-15T05:25:00+00:00,283.4,0.518,-5.229,9.062
2026-01-15T05:30:00+00:00,284.621,0.522,-5.242,9.061
2026-01-15T05:35:00+00:00,283.802,0.526,-5.256,9.057
2026-01-15T05:40:00+00:00,284.941,0.529,-5.275,9.053
2026-01-15T05:45:00+00:00,286.41,0.533,-5.296,9.044
2026-01-15T05:50:00+00:00,288.251,0.537,-5.326,9.031
2026-01-15T05:55:00+00:00,290.326,0.54,-5.373,9.037
2026-01-15T06:00:00+00:00,293.444,0.544,-5.425,9.054
2026-01-15T06:05:00+00:00,297.905,0.548,-5.522,9.057
2026-01-15T06:10:00+00:00,304.242,0.552,-5.619,9.004
2026-01-15T06:15:00+00:00,307.945,0.556,-5.708,9.024
2026-01-15T06:20:00+00:00,312.882,0.559,-5.798,9.027
2026-01-15T06:25:00+00:00,318.47,0.563,-5.881,8.989
2026-01-15T06:30:00+00:00,321.83,0.566,-5.892,8.974
2026-01-15T06:35:00+00:00,325.24,0.57,-5.966,8.959
2026-01-15T06:40:00+00:00,331.247,0.572,-6.102,8.952
2026-01-15T06:45:00+00:00,336.712,0.526,-6.181,8.957
2026-01-15T06:50:00+00:00,342.039,0.458,-6.26,8.941
2026-01-15T06:55:00+00:00,353.342,0.287,-6.509,8.905
2026-01-15T07:00:00+00:00,358.476,0.181,-6.634,8.988
2026-01-15T07:05:00+00:00,360.569,0.272,-6.652,8.978
2026-01-15T07:10:00+00:00,361.261,0.352,-6.663,8.976
2026-01-15T07:15:00+00:00,364.069,0.336,-6.736,8.972
2026-01-15T07:20:00+00:00,368.604,0.319,-6.827,8.968
2026-01-15T07:25:00+00:00,371.554,0.302,-6.902,8.957
2026-01-15T07:30:00+00:00,373.883,0.293,-6.919,9.006
2026-01-15T07:35:00+00:00,375.854,0.289,-6.98,8.996
2026-01-15T07:40:00+00:00,377.818,0.284,-7.046,8.991
2026-01-15T07:45:00+00:00,379.912,0.28,-7.078,9.021
2026-01-15T07:50:00+00:00,382.009,0.276,-7.108,9.04
2026-01-15T07:55:00+00:00,383.587,0.271,-7.135,9.016
2026-01-15T08:00:00+00:00,383.444,0.267,-7.099,9.0
2026-01-15T08:05:00+00:00,386.212,0.262,-7.166,8.985
2026-01-15T08:10:00+00:00,392.771,0.258,-7.25,8.967
2026-01-15T08:15:00+00:00,395.412,0.254,-7.287,8.955
2026-01-15T08:20:00+00:00,397.34,0.249,-7.315,8.954
2026-01-15T08:25:00+00:00,399.074,0.245,-7.341,8.952
2026-01-15T08:30:00+00:00,397.585,0.241,-7.332,8.949
2026-01-15T08:35:00+00:00,395.405,0.236,-7.27,8.95
2026-01-15T08:40:00+00:00,398.37,0.232,-7.318,8.95
2026-01-15T08:45:00+00:00,400.435,0.227,-7.371,8.949
2026-01-15T08:50:00+00:00,399.477,0.223,-7.399,8.941
2026-01-15T08:55:00+00:00,401.136,0.219,-7.424,8.919
2026-01-15T09:00:00+00:00,401.928,0.214,-7.452,8.945
2026-01-15T09:05:00+00:00,401.255,0.21,-7.498,8.959
2026-01-15T09:10:00+00:00,399.884,0.206,-7.504,9.031
2026-01-15T09:15:00+00:00,402.59,0.201,-7.528,9.024
2026-01-15T09:20:00+00:00,404.168,0.197,-7.534,9.018
2026-01-15T09:25:00+00:00,407.716,0.193,-7.582,9.011
2026-01-15T09:30:00+00:00,411.468,0.189,-7.644,9.001
2026-01-15T09:35:00+00:00,412.537,0.184,-7.684,8.987
2026-01-15T09:40:00+00:00,412.044,0.179,-7.656,8.978
2026-01-15T09:45:00+00:00,412.925,0.174,-7.657,8.977
2026-01-15T09:50:00+00:00,411.852,0.169,-7.665,8.974
2026-01-15T09:55:00+00:00,415.403,0.164,-7.716,8.97
2026-01-15T10:00:00+00:00,416.368,0.159,-7.758,8.978
2026-01-15T10:05:00+00:00,417.716,0.154,-7.772,8.988
2026-01-15T10:10:00+00:00,417.515,0.149,-7.762,8.994
2026-01-15T10:15:00+00:00,417.314,0.144,-7.73,8.991
2026-01-15T10:20:00+00:00,417.114,0.138,-7.698,8.994
2026-01-15T10:25:00+00:00,419.001,0.134,-7.772,8.994
2026-01-15T10:30:00+00:00,421.004,0.128,-7.788,8.999
2026-01-15T10:35:00+00:00,421.042,0.124,-7.804,9.004
2026-01-15T10:40:00+00:00,421.428,0.118,-7.816,8.986
2026-01-15T10:45:00+00:00,421.72,0.113,-7.81,8.98
2026-01-15T10:50:00+00:00,422.691,0.108,-7.83,8.977
2026-01-15T10:55:00+00:00,423.66,0.103,-7.836,8.976
2026-01-15T11:00:00+00:00,423.379,0.099,-7.792,8.97
2026-01-15T11:05:00+00:00,423.86,0.094,-7.788,8.957
2026-01-15T11:10:00+00:00,425.423,0.088,-7.85,8.944
2026-01-15T11:15:00+00:00,423.732,0.084,-7.836,8.952
2026-01-15T11:20:00+00:00,423.486,0.079,-7.819,8.949
2026-01-15T11:25:00+00:00,423.517,0.073,-7.821,8.947
2026-01-15T11:30:00+00:00,423.683,0.068,-7.797,8.952
2026-01-15T11:35:00+00:00,424.626,0.063,-7.796,8.957
2026-01-15T11:40:00+00:00,425.692,0.058,-7.819,8.962
2026-01-15T11:45:00+00:00,426.786,0.053,-7.843,8.953
2026-01-15T11:50:00+00:00,428.44,0.048,-7.877,8.948
2026-01-15T11:55:00+00:00,434.812,0.039,-8.015,8.914
2026-01-15T12:00:00+00:00,432.03,0.136,-8.017,8.949
2026-01-15T12:05:00+00:00,436.144,0.07,-8.078,8.931
2026-01-15T12:10:00+00:00,428.403,0.202,-7.934,8.969
2026-01-15T12:15:00+00:00,427.079,0.234,-7.893,8.976
2026-01-15T12:20:00+00:00,424.932,0.254,-7.867,8.984
2026-01-15T12:25:00+00:00,424.473,0.272,-7.854,8.99
2026-01-15T12:30:00+00:00,428.571,0.265,-7.92,8.978
2026-01-15T12:35:00+00:00,431.282,0.25,-7.975,8.958
2026-01-15T12:40:00+00:00,430.143,0.244,-8.003,8.982
2026-01-15T12:45:00+00:00,429.766,0.245,-8.012,8.988
2026-01-15T12:50:00+00:00,429.554,0.246,-8.024,8.983
2026-01-15T12:55:00+00:00,429.998,0.247,-8.067,8.992
2026-01-15T13:00:00+00:00,429.456,0.248,-8.084,9.04
2026-01-15T13:05:00+00:00,432.761,0.249,-8.114,9.035
2026-01-15T13:10:00+00:00,430.189,0.25,-8.12,9.047
2026-01-15T13:15:00+00:00,427.405,0.251,-8.044,9.061
2026-01-15T13:20:00+00:00,424.924,0.252,-7.96,9.064
