simplified_substation_name_in_live_flows,simplified_substation_name_in_location_table
Alliance & Leicester,Alliance And Leicester
Annesley,Annesley (Kirkby)
Boothen,""
Bridgend T E,Bridgend Trading Estate
Broad Street,Broad St.Barry
Caerau Road,Caerau
Cardiff South,""
Carlton-On-Trent,Carlton On Trent
Chipping Sodbury,""
Church Street,Church St
Commercial Street,Commercial St Neath
Court Road,Court Road Barry
Dillotford Avenue,Dillotford Ave
Feckenham,""
Feeder Road A,Feeder Rd
Gethin St,Gethin Street Swansea
Hallcroft Road,Hallcroft Rd
Hinksford,""
Ketley,""
Kidderminster,""
Kilton Road,Kilton Rd
Lime St,Lime Street Gorseinon
Ludlow,""
Lydney,""
Mansfield Street,Mansfield St
Meaford,""
Moretonhampstead,Mortonhampstead
Mount Bridge,Mount Bridge Boston
New Beacon Road,New Beacon Road Grantham
Newcastle Emlyn Sth,Newcastle Emlyn South
Newhouse,Newhouse SS
Oldbury B,""
Pantyffynnon,Pantyffynon
Pengam,""
Pont Ar Anell,Pont Ar Annell
Pontllanfraith,Pontllanffraith
Ringland,Ringland Newport
Ryeford,""
Ship Hill,Ship Hill Barry
Sleaford Road,Sleaford Road Boston
Spalding,Spalding Clay Lake
Stourport,""
Strand,""
Swansea Road,Strand Swansea
Swansea Trading Est,Swansea Trading Estate
Talbot Street,Talbot St
Tinwell Road,Tinwell Road Ketton
Tir John,""
Tunnel Bank,Tunnel Bank Bourne
Uplands,Uplands Swansea
Upton Warren,""
Wellington Street,Wellington St
West Wick,Westwick
Whitfield,""
Wolverhampton,""
Wolverhampton West,""
Wood End,""
Wood St,Wood Street
Ynys St,Ynys Street
